序号	时间标识	源通道	帧ID	帧类型	帧格式	CAN类型	方向	长度	数据
150	2023-03-23 19:26:25.508	Ch0	0x2C0	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 EF 10 
151	2023-03-23 19:26:25.511	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 50 B1 
152	2023-03-23 19:26:25.511	Ch0	0x1EF	标准帧	数据帧	CANFD加速	Rx	16	00 00 00 00 00 00 00 00 FF FF FF FF FF FF 1F E6 
153	2023-03-23 19:26:25.511	Ch0	0x3D9	标准帧	数据帧	CANFD加速	Rx	8	04 FE F7 BF 89 8C 10 7D 
154	2023-03-23 19:26:25.511	Ch0	0x426	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 00 00 
155	2023-03-23 19:26:25.588	Ch0	0x248	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 CF 30 
156	2023-03-23 19:26:25.588	Ch0	0x26F	标准帧	数据帧	CANFD加速	Rx	8	FF FF 3F A1 03 1B 60 A3 
157	2023-03-23 19:26:25.588	Ch0	0x267	标准帧	数据帧	CANFD加速	Rx	8	DE 7B EF BD F7 3E C5 12 
158	2023-03-23 19:26:25.588	Ch0	0x288	标准帧	数据帧	CANFD加速	Rx	48	50 FF 9B 50 FF 9B 50 FF 9B 50 FF 9B 05 05 05 05 46 46 46 46 00 00 00 00 00 00 50 FF 9B 05 46 00 00 00 00 00 00 00 80 E0 02 00 E0 FF FF FF FF FF 
159	2023-03-23 19:26:25.588	Ch0	0x1C2	标准帧	数据帧	CANFD加速	Rx	8	57 3A F1 80 C0 FF DF 5F 
160	2023-03-23 19:26:25.588	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 60 A1 
161	2023-03-23 19:26:25.588	Ch0	0x31E	标准帧	数据帧	CANFD加速	Rx	8	03 10 E0 FF FF FF 3F D0 
162	2023-03-23 19:26:25.588	Ch0	0x25D	标准帧	数据帧	CANFD加速	Rx	8	80 F0 FF F1 FF F1 40 6F 
163	2023-03-23 19:26:25.588	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 70 91 
164	2023-03-23 19:26:25.588	Ch0	0x38A	标准帧	数据帧	CANFD加速	Rx	8	AA AE 0A 75 1A C8 0F 37 
165	2023-03-23 19:26:25.588	Ch0	0x3FF	标准帧	数据帧	CANFD加速	Rx	8	47 00 FF 0F 32 A1 FF C9 
166	2023-03-23 19:26:25.588	Ch0	0x4BF	标准帧	数据帧	CANFD加速	Rx	8	C9 0D FF FF 3F F7 F6 FF 
167	2023-03-23 19:26:25.588	Ch0	0x055	标准帧	数据帧	CANFD加速	Rx	8	01 0A 43 33 82 00 02 F7 
168	2023-03-23 19:26:25.588	Ch0	0x4EB	标准帧	数据帧	CANFD加速	Rx	8	0B 00 00 C0 FF 64 00 FF 
169	2023-03-23 19:26:25.588	Ch0	0x3C5	标准帧	数据帧	CANFD加速	Rx	8	01 AC F0 FF FF FF FF FF 
170	2023-03-23 19:26:25.588	Ch0	0x1EF	标准帧	数据帧	CANFD加速	Rx	16	00 00 00 00 00 00 00 00 FF FF FF FF FF FF 2F D6 
171	2023-03-23 19:26:25.588	Ch0	0x275	标准帧	数据帧	CANFD加速	Rx	8	19 10 01 19 00 00 4F 6D 
