ID	数据域位置	数据变化值
0x31e	1	[0, 0, 0, 0, 0, 0, 0, 0]
0x31e	2	[0, 0, 0, 0, 0, 0, 0, 0]
0x31e	3	[0, 0, 0, 0, 0, 0, 0, 0]
0x31e	4	[0, 0, 0, 0, 0, 0, 0, 0]
0x31e	5	[0, 0, 0, 0, 0, 0, 0, 0]
0x31e	6	[0, 0, 0, 0, 0, 0, 0, 0]
0x31e	7	[0, 0, 0, 0, 0, 0, 0, 0]
0x323	0	[0, 0, 0, 0, 0, 0, 0, 0]
0x323	1	[0, 0, 0, 0, 0, 0, 0, 0]
0x323	2	[0, 0, 0, 0, 0, 0, 0, 0]
0x323	3	[0, 0, 0, 0, 0, 0, 0, 0]
0x323	4	[0, 0, 0, 0, 0, 0, 0, 0]
0x323	5	[0, 0, 0, 0, 0, 0, 0, 0]
0x323	6	[7, 15, 30, 60, 0, 0, 0, 0]
0x323	7	[8, 15, 30, 60, 0, 0, 0, 0]
0x33f	0	[0, 0, 0, 0, 0, 0, 0, 0]
0x33f	1	[0, 0, 0, 0, 0, 0, 0, 0]
0x33f	2	[0, 0, 0, 0, 0, 0, 0, 0]
0x33f	3	[0, 0, 0, 0, 0, 0, 0, 0]
0x33f	4	[0, 0, 0, 0, 0, 0, 0, 0]
0x33f	5	[0, 0, 0, 0, 0, 0, 0, 0]
0x33f	6	[0, 0, 0, 0, 0, 0, 0, 0]
0x33f	7	[0, 0, 0, 0, 0, 0, 0, 0]
0x388	0	[0, 0, 0, 0, 0, 0, 0, 0]
0x388	1	[0, 0, 0, 0, 0, 0, 0, 0]
0x388	2	[0, 0, 0, 0, 0, 0, 0, 0]
0x388	3	[0, 0, 0, 0, 0, 0, 0, 0]
0x388	4	[0, 0, 0, 0, 0, 0, 0, 0]
0x388	5	[0, 0, 0, 0, 0, 0, 0, 0]
0x388	6	[0, 0, 0, 0, 0, 0, 0, 0]
0x388	7	[0, 0, 0, 0, 0, 0, 0, 0]
0x38a	0	[0, 0, 0, 0, 0, 0, 0, 0]
0x38a	1	[0, 0, 0, 0, 0, 0, 0, 0]
0x38a	2	[0, 0, 0, 0, 0, 0, 0, 0]
0x38a	3	[0, 0, 0, 0, 0, 0, 0, 0]
0x38a	4	[0, 0, 0, 0, 0, 0, 0, 0]
0x38a	5	[0, 0, 0, 0, 0, 0, 0, 0]
0x38a	6	[0, 0, 0, 0, 0, 0, 0, 0]
0x38a	7	[0, 0, 0, 0, 0, 0, 0, 0]
0x3a7	0	[0, 0, 0, 0, 0, 0, 0, 0]
0x3a7	1	[0, 0, 0, 0, 0, 0, 0, 0]
0x3a7	2	[0, 0, 0, 0, 0, 0, 0, 0]
0x3a7	3	[0, 0, 0, 0, 0, 0, 0, 0]
0x3a7	4	[0, 0, 0, 0, 0, 0, 0, 0]
0x3a7	5	[0, 0, 0, 0, 0, 0, 0, 0]
0x3a7	6	[0, 0, 0, 0, 0, 0, 0, 0]
0x3a7	7	[0, 0, 0, 0, 0, 0, 0, 0]
0x3b4	0	[0, 0, 0, 0, 0, 0, 0, 0]
0x3b4	1	[0, 0, 0, 0, 0, 0, 0, 0]
0x3b4	2	[0, 0, 0, 0, 0, 0, 0, 0]
0x3b4	3	[0, 0, 0, 0, 0, 0, 0, 0]
0x3b4	4	[0, 0, 0, 0, 0, 0, 0, 0]
0x3b4	5	[0, 0, 0, 0, 0, 0, 0, 0]
0x3b4	6	[0, 0, 0, 0, 0, 0, 0, 0]
0x3b4	7	[0, 0, 0, 0, 0, 0, 0, 0]
0x3c5	0	[0, 0, 0, 0, 0, 0, 0, 0]
0x3c5	1	[0, 0, 0, 0, 0, 0, 0, 0]
